Ticker,Weight,Amount,Expected_Return,Volatility
F,0.010000000000000023,1000.0000000000023,0.16534053095718038,0.4106133728761085
ADI,0.01,1000.0,0.1658277160533996,0.30602552736468536
BAC,0.01,1000.0,0.1539281530137515,0.282132352930687
CHTR,0.010000000000000014,1000.0000000000014,0.006718329137765183,0.34205674109095596
COF,0.01,1000.0,0.18751154190511132,0.34572215224270975
BKNG,0.01,1000.0,0.2051877896316014,0.3405781371313766
FTNT,0.16912080642860658,16912.08064286066,0.259462944551628,0.4280489141586659
CMG,0.010000000000000024,1000.0000000000025,0.19210568869164796,0.31372227056945706
AXP,0.10569557413172305,10569.557413172304,0.2138088568559151,0.3067761168776946
BK,0.01,1000.0,0.1806730153678059,0.26297036067560364
CL,0.01000000000000001,1000.000000000001,0.09111677126924263,0.1668687015934495
AVGO,0.39999999999999997,40000.0,0.295334328252261,0.36178048714212935
GS,0.20593748039818435,20593.748039818434,0.2066545080650471,0.2594095494814789
COST,0.01924613904148603,1924.6139041486028,0.18496188307952843,0.22807615506366882
GIS,0.01,1000.0,0.09264511519567797,0.19722783862807608
