Ticker,Weight,Amount,Expected_Return,Volatility
ADBE,0.010000000000000045,1000.0000000000045,0.09209354349481032,0.35737353623738904
AMAT,0.01,1000.0,0.2419891774842895,0.4313760662008685
AAPL,0.010000000000000064,1000.0000000000065,0.1672021417946102,0.2706913246845202
AMZN,0.01,1000.0,0.10938794055871062,0.3517566150671299
ADI,0.01000000000000001,1000.000000000001,0.1658277318801548,0.30602551579975745
CHTR,0.01,1000.0,0.006718329137765183,0.34205674109095596
BKNG,0.014068633922897087,1406.8633922897088,0.20518777870739446,0.34057815503198974
FTNT,0.17499184880108973,17499.184880108973,0.259462944551628,0.4280489141586659
CMG,0.01,1000.0,0.19210568869164796,0.31372227056945706
AXP,0.21404628122667804,21404.628122667804,0.21380885605376115,0.30677618642627996
CL,0.01000000000000001,1000.000000000001,0.09111679216019272,0.16686875146939584
BK,0.018825187873557685,1882.5187873557684,0.18067296381340664,0.26297037780356836
AVGO,0.4,40000.0,0.29533435189804613,0.3617804839741059
COST,0.08806804817577708,8806.804817577708,0.18496190222350983,0.22807612180568126
GIS,0.010000000000000259,1000.0000000000259,0.09264512974440031,0.19722788692626225
