Ticker,Weight,Amount,Expected_Return,Volatility
NVDA,0.14628718549725164,14628.718549725165,0.35,0.5289853404942294
TJX,0.010000000000000005,1000.0000000000006,0.17259231474990272,0.25103528069500686
CMG,0.010000000000000004,1000.0000000000003,0.19210568869164796,0.31372227056945706
JPM,0.01000000000000001,1000.000000000001,0.18089324488585695,0.24760359947327215
WFC,0.18207654426299147,18207.65442629915,0.2244575399797829,0.31532681285917546
COST,0.01,1000.0,0.18496192498032377,0.2280762229624602
KO,0.01,1000.0,0.11132521630717361,0.158946329697748
GS,0.01,1000.0,0.20665452020710318,0.25940955420560274
ORCL,0.06443858917510824,6443.858917510824,0.22031368534766965,0.2999784469043257
PANW,0.2274570785726548,22745.70785726548,0.2947979664332298,0.42044253108687474
AVGO,0.2797406024919938,27974.060249199378,0.2953343637512158,0.36178059295583553
TMUS,0.01,1000.0,0.15609132420127952,0.22870255910150974
MO,0.010000000000000007,1000.0000000000007,0.1413427943083187,0.20509637721970397
WMT,0.01,1000.0,0.13891088430966625,0.19600123117199267
PM,0.01000000000000003,1000.000000000003,0.1618989936537818,0.19977946196356214
