Date,Value
2024-10-30,100000.0
2024-10-31,99014.5715965683
2024-11-01,96980.72269594645
2024-11-04,97304.264365151
2024-11-05,96883.52649123114
2024-11-06,98724.48416939989
2024-11-07,104308.01761710654
2024-11-08,104812.8074691367
2024-11-11,105341.80655569643
2024-11-12,105495.04859513775
2024-11-13,105444.66407678319
2024-11-14,105181.47183551014
2024-11-15,104125.72440617322
2024-11-18,102589.37540021756
2024-11-19,102563.20082472973
2024-11-20,103220.25783970833
2024-11-21,103212.5077969382
2024-11-22,104246.54386462792
2024-11-25,103349.44792731723
2024-11-26,103161.73591139527
2024-11-27,104195.74797171551
2024-11-29,102158.47835200503
2024-12-02,102865.47369222861
2024-12-03,103293.20190894225
2024-12-04,103593.2970409404
2024-12-05,105148.20145039537
2024-12-06,105197.42437664131
2024-12-09,106930.95056627002
2024-12-10,104702.99032558357
2024-12-11,102650.74649501983
2024-12-12,105311.50396377002
2024-12-13,104475.83806387657
2024-12-16,110356.42161020794
2024-12-17,115123.34012885213
2024-12-18,112806.36836193957
2024-12-19,107544.87328069007
2024-12-20,107097.15413613789
2024-12-23,108110.5208277016
2024-12-24,110715.31541260339
2024-12-26,112568.27841281574
2024-12-27,113361.79032370055
2024-12-30,111839.22748860093
2024-12-31,109670.79136952302
2025-01-02,108450.85526250426
2025-01-03,108720.54223916653
2025-01-06,110236.52215479431
2025-01-07,110907.04310052736
2025-01-08,107955.59599064136
2025-01-10,107784.90325732435
2025-01-13,105761.13668289292
2025-01-14,104966.26858159337
2025-01-15,105420.89496970584
2025-01-16,108404.24293247746
2025-01-17,108818.6349869167
2025-01-21,110850.12567161406
2025-01-22,113215.28442592418
2025-01-23,114936.82562445034
2025-01-24,114963.54944239334
2025-01-27,114938.86047871457
2025-01-28,106104.89991902544
2025-01-29,108670.41189971003
2025-01-30,107055.46680061569
2025-01-31,109218.26911733391
2025-02-03,108942.51472533774
2025-02-04,107677.49305159261
2025-02-05,108992.53763524322
2025-02-06,111844.21411634209
2025-02-07,112929.4693049631
2025-02-10,113043.68403756067
2025-02-11,115006.1689456627
2025-02-12,114924.84036839922
2025-02-13,114802.08357138264
2025-02-14,115996.98708736745
2025-02-18,116131.70203593622
2025-02-19,117095.86177171407
2025-02-20,116657.50116892054
2025-02-21,114719.4509800149
2025-02-24,111226.23597963965
2025-02-25,109264.77894290542
2025-02-26,107527.85561268443
2025-02-27,109835.80995723754
2025-02-28,105963.73851517033
2025-03-03,107881.8143285433
2025-03-04,103618.62440523613
2025-03-05,102377.5782545718
2025-03-06,103516.95610134369
2025-03-07,99460.56520558853
2025-03-10,101509.12085083344
2025-03-11,96849.16536520867
2025-03-12,98333.36406954259
2025-03-13,100444.27766730319
2025-03-14,99240.21782761038
2025-03-17,102184.8737706088
2025-03-18,102502.16567490487
2025-03-19,100784.9652142622
