Date,Value
2022-11-01,100392.56644338812
2022-11-02,99373.76529413421
2022-11-03,99763.75124192963
2022-11-04,101202.15161351404
2022-11-07,101996.88889231105
2022-11-08,102505.94905351466
2022-11-09,101446.19795972685
2022-11-10,104275.96869723525
2022-11-11,103530.8285772661
2022-11-14,102980.8067483422
2022-11-15,104912.86561880309
2022-11-16,104857.97128828926
2022-11-17,104680.15385047147
2022-11-18,105661.82656381582
2022-11-21,105931.08367964144
2022-11-22,106913.51699777647
2022-11-23,107595.28350229806
2022-11-25,108057.97749153033
2022-11-28,106879.55378948717
2022-11-29,106908.7868210617
2022-11-30,107829.3155050412
2022-12-01,107654.50614551108
2022-12-02,107719.17173595124
2022-12-05,106247.34493766134
2022-12-06,106169.20670176254
2022-12-07,105907.01471412598
2022-12-08,106009.33673508216
2022-12-09,104651.5038214753
2022-12-12,106479.77109324747
2022-12-13,106624.8374120189
2022-12-14,106163.98548109076
2022-12-15,104323.77861766065
2022-12-16,102856.50748707347
2022-12-19,103050.04304082137
2022-12-20,103947.83542421367
2022-12-21,105623.2107307413
2022-12-22,104756.99799858427
2022-12-23,105170.86534182414
2022-12-27,105653.40552867258
2022-12-28,104928.05192704435
2022-12-29,105930.5124135127
2022-12-30,105744.91670442799
2023-01-03,106806.29404197248
2023-01-04,108733.8222666887
2023-01-05,108510.37617528923
2023-01-06,110234.73359481768
2023-01-09,109523.36145234805
2023-01-10,110487.18552864649
2023-01-11,111568.47159914114
2023-01-12,111445.81598398669
2023-01-13,112366.66612435342
2023-01-17,111663.1721193109
2023-01-18,109342.63024144396
2023-01-19,107984.7285550068
2023-01-20,108401.63500566888
2023-01-23,109428.42223605514
2023-01-24,110012.3711518525
2023-01-25,110206.49152761373
2023-01-26,110320.0940232092
2023-01-27,111077.15752150262
2023-01-30,109260.30120611531
2023-01-31,109926.14758884671
2023-02-01,110714.02706182642
2023-02-02,110861.23958013754
2023-02-03,109944.6594455334
2023-02-06,110120.74874726831
2023-02-07,110163.22706365105
2023-02-08,109519.22489266361
2023-02-09,108412.84658058202
2023-02-10,109427.34025064467
2023-02-13,110658.81486549567
2023-02-14,110700.46569186334
2023-02-15,110871.99579732706
2023-02-16,109881.04299087806
2023-02-17,110739.69029715845
2023-02-21,109526.90255048663
2023-02-22,109069.67621379344
2023-02-23,108705.8179191508
2023-02-24,108895.34982446341
2023-02-27,108706.68462750947
2023-02-28,108537.51864310377
2023-03-01,107328.98680952925
2023-03-02,107980.34240136483
2023-03-03,109164.75698671852
2023-03-06,109579.5957719652
2023-03-07,107779.48498341306
2023-03-08,107728.15862035788
2023-03-09,107206.47439485724
2023-03-10,107324.7137750888
2023-03-13,107038.24611972446
2023-03-14,108560.46393739522
2023-03-15,107898.9746759749
2023-03-16,108764.37599168632
2023-03-17,107307.04481320144
2023-03-20,108094.40792767306
2023-03-21,108579.66119635421
2023-03-22,106451.9472021737
2023-03-23,106733.35769504968
2023-03-24,107404.0442252123
2023-03-27,108999.11401645048
2023-03-28,108744.23705173511
2023-03-29,109659.17894950428
2023-03-30,109801.68989215992
2023-03-31,110993.54422672809
2023-04-03,111408.58513759062
2023-04-04,110962.12860123861
2023-04-05,112775.10457643814
2023-04-06,112907.81867206367
2023-04-10,112870.56685414123
2023-04-11,112851.35277468478
2023-04-12,112749.25067556076
2023-04-13,113145.84422752832
2023-04-14,114596.07218202659
2023-04-17,115414.97307591037
2023-04-18,115246.75133078123
2023-04-19,115824.96093270546
2023-04-20,116183.99127713745
2023-04-21,116104.88019966162
2023-04-24,116712.03688452054
2023-04-25,116036.2630515212
2023-04-26,114315.07837332299
2023-04-27,115447.40590797928
2023-04-28,115761.82475285536
2023-05-01,116904.6686791678
2023-05-02,116392.93330997485
2023-05-03,115504.60988191295
2023-05-04,114777.31951665462
2023-05-05,116007.05948465136
2023-05-08,116205.48792053822
2023-05-09,115771.41430023964
2023-05-10,115727.16264088018
2023-05-11,115449.38784449911
2023-05-12,114944.49950324476
2023-05-15,115263.99680581853
2023-05-16,114007.94955863664
2023-05-17,114908.37774444635
2023-05-18,115375.1704341856
2023-05-19,115128.06473433244
2023-05-22,114540.61072536062
2023-05-23,113321.34762839903
2023-05-24,112680.54679787655
2023-05-25,111990.47765138159
