Ticker,Weight,Amount,Expected_Return,Volatility
ABT,0.010000000000000047,1000.0000000000047,0.08112721403736409,0.2176322066229889
CMCSA,0.010000000000000042,1000.0000000000042,0.07782540980254762,0.2537279031558612
CRM,0.010000000000000005,1000.0000000000006,0.11278290992164355,0.35989261038534337
BKNG,0.01000000000000004,1000.000000000004,0.20361075680718577,0.34046637970309046
BK,0.01000000000000005,1000.000000000005,0.18324814218687951,0.2630398245547474
AXP,0.17419474503842314,17419.474503842313,0.21661952352376868,0.30682803262271763
CI,0.01,1000.0,0.15684698633167482,0.27711648229985736
AMGN,0.010000000000000014,1000.0000000000014,0.12513966001199184,0.21795820511474423
CL,0.01,1000.0,0.09309811073861858,0.16697259736407866
CAT,0.03163747207915907,3163.747207915907,0.19519823470530173,0.28760793979722454
CMG,0.010000000000000056,1000.0000000000056,0.19061103797269469,0.31362239115043283
AVGO,0.39999999999999997,40000.0,0.29567182128345715,0.3616024506468265
CB,0.01,1000.0,0.17113388180653533,0.21867292738627742
COST,0.023575883329538125,2357.5883329538124,0.1872054767268439,0.2281380209811122
ABBV,0.27059189955287943,27059.189955287944,0.18170891025769798,0.20736396584079872
