Ticker,Weight,Amount,Expected_Return,Volatility
AMD,0.010000000000000004,1000.0000000000003,0.20701970206832782,0.5000117422888519
CRM,0.01000000000000001,1000.000000000001,0.11278293376306528,0.3598926343308034
AMZN,0.010000000000000073,1000.0000000000073,0.10801836190100199,0.3516235111041625
BKNG,0.010000000000000023,1000.0000000000023,0.20361077393966326,0.34046642090777335
BK,0.010000000000000042,1000.0000000000042,0.18324818439676233,0.26303986372843474
AXP,0.17252645875630054,17252.645875630053,0.21661954359406244,0.30682808947739487
CI,0.01,1000.0,0.15684699042520156,0.2771163380298774
AMGN,0.010000000000000026,1000.0000000000026,0.12513965759923906,0.21795829929487026
CL,0.010000000000000005,1000.0000000000006,0.09309808527150412,0.1669727399887773
CAT,0.031335763185614214,3133.5763185614214,0.19519824741445768,0.28760814641816707
CMG,0.01,1000.0,0.19061103797269469,0.31362239115043283
AVGO,0.4,40000.0,0.2956718278776323,0.36160258692046854
CB,0.01,1000.0,0.17113389422639097,0.21867295159844938
COST,0.017351120135889953,1735.1120135889953,0.18720544620401325,0.22813806537336043
ABBV,0.27878665792219504,27878.665792219505,0.18170891650864684,0.20736392510785703
